"occurrenceID","basisofRecord","organismScope","catalogNumber","otherCatalogNumbers","eventID","scientificName","taxonRank","identifiedBy","identificationQualifier","identificationRemarks","organismRemarks","individualCount","institutionID","associatedMedia","lifestage","sex","preparations","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","supergenus","genus","subgenus","species","subspecies","locality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","geoReferenceProtocol","year","month","day","maximumDepthInMeters","minimumDepthInMeters","recordedBy","samplingProtocol","habitatGeomorphologicalZone","habitatSubstrate","habitatBiotic","eventTime","verbatimCoordinates","eventMedia"
"KB17-011","Specimen","organism","442185","AH9BJ84","KANF002","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","male","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,2,1,0.3,"Lynne Parenti| Claire Lager | Michael Henley","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"09:00/10:00",NA,NA
"KB17-012","Specimen","organism","442186","AH9BJ94","KANF003","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","male","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,4,1,0.3,"Claire Lager| Michael Henley | Lynne Parenti","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"08:30/09:15",NA,NA
"KB17-013","Specimen","organism","442187","AH9BK04","KANF003","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","male","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,4,1,0.3,"Claire Lager| Michael Henley | Lynne Parenti","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"08:30/09:15",NA,NA
"KB17-014","Specimen","organism","442188","AH9BK14","KANF003","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","male","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,4,1,0.3,"Claire Lager| Michael Henley | Lynne Parenti","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"08:30/09:15",NA,NA
"KB17-015","Specimen","organism","442189","AH9BK24","KANF003","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","female","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,4,1,0.3,"Claire Lager| Michael Henley | Lynne Parenti","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"08:30/09:15",NA,NA
"KB17-016","Specimen","organism","442190","AH9BK25","KANF003","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","female","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,4,1,0.3,"Claire Lager| Michael Henley | Lynne Parenti","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"08:30/09:15",NA,NA
"KB17-017","Specimen","organism","442191","AH9BK26","KANF003","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","male","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,4,1,0.3,"Claire Lager| Michael Henley | Lynne Parenti","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"08:30/09:15",NA,NA
"KB17-018","Specimen","organism","442192","AH9BK27","KANF003","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","male","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,4,1,0.3,"Claire Lager| Michael Henley | Lynne Parenti","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"08:30/09:15",NA,NA
"KB17-019","Specimen","organism","442193","AH9BK37","KANF003","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","male","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,4,1,0.3,"Claire Lager| Michael Henley | Lynne Parenti","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"08:30/09:15",NA,NA
"KB17-020","Specimen","organism","442194","AH9BK47","KANF003","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","male","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,4,1,0.3,"Claire Lager| Michael Henley | Lynne Parenti","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"08:30/09:15",NA,NA
"KB17-021","Specimen","organism","442195","AH9BK57","KANF004","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","male","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,10,1,0.3,"Michael Henley | Lynne Parenti","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"08:30/09:15",NA,NA
"KB17-022","Specimen","organism","442196","AH9BK60","KANF004","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","male","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,10,1,0.3,"Michael Henley | Lynne Parenti","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"08:30/09:15",NA,NA
"KB17-023","Specimen","organism","442197","AH9BK63","KANF004","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","male","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,10,1,0.3,"Michael Henley | Lynne Parenti","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"08:30/09:15",NA,NA
"KB17-024","Specimen","organism","442198","AH9BK66","KANF004","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","female","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,10,1,0.3,"Michael Henley | Lynne Parenti","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"08:30/09:15",NA,NA
"KB17-025","Specimen","organism","442199","AH9BK67","KANF005","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","male","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,15,1,0.3,"Michael Henley | Lynne Parenti","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"08:45/10:00",NA,NA
"KB17-026","Specimen","organism","442200","AH9BK68","KANF005","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","male","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,15,1,0.3,"Michael Henley | Lynne Parenti","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"08:45/10:00",NA,NA
"KB17-027","Specimen","organism","442201","AH9BK69","KANF005","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","male","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,15,1,0.3,"Michael Henley | Lynne Parenti","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"08:45/10:00",NA,NA
"KB17-028","Specimen","organism","442202","AH9BK70","KANF005","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,"Only one mature testis.",1,"USNM","N","Adult","male","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,15,1,0.3,"Michael Henley | Lynne Parenti","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"08:45/10:00",NA,NA
"KB17-029","Specimen","organism","442203","AH9BK71","KANF005","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","male","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,15,1,0.3,"Michael Henley | Lynne Parenti","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"08:45/10:00",NA,NA
"KB17-030","Specimen","organism","442204","AH9BK72","KANF005","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","male","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,15,1,0.3,"Michael Henley | Lynne Parenti","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"08:45/10:00",NA,NA
"KB17-031","Specimen","organism","442205","AH9BK73","KANF005","Asterropteryx semipunctata","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","N","Adult","male","Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Gobiidae",NA,NA,"Asterropteryx",NA,"semipunctata",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach",21.444,-157.7964,100,"Google Earth",2017,5,15,1,0.3,"Michael Henley | Lynne Parenti","Snorkel| Dip nets","Inner fringing reef flat","coarse sand|dead coral|live coral",NA,"08:45/10:00",NA,NA
"KB17-032","Specimen","organism","442206","AH9BK74|AH9BK75","KANF006","Diodon hystrix","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","Y","Adult",NA,"Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Tetraodontiformes",NA,NA,"Diodontidae",NA,NA,"Diodon",NA,"hystrix",NA,"Hawaii, Oahu, Kaneohe Bay, Laenani Beach",21.4608,-157.8322,NA,"Google Earth",2017,5,17,NA,0,"Tina Ramoy | Lynne Parenti","By hand",NA,NA,NA,"11:30",NA,NA
"KB17-033","Specimen","organism","442207","AH9BK76|AH9BK77","KANF007","Fistularia commersonii","Species","Lynne R. Parenti",NA,NA,NA,1,"USNM","Y","Adult",NA,"Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Syngnathiformes",NA,NA,"Fistulariidae",NA,NA,"Fistularia",NA,"commersonii",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach and reef front.",21.444,-157.7964,100,"Google Earth",2017,5,22,5,0,"Julie Zill| Lynne Parenti| Kathleen Cole| Zeehan Jaafar| Diane Pitassy | Haven Banshaw","Snorkel| Dip nets| Spear","Inner fringing reef flat|reef crest","coarse sand|dead coral|live coral",NA,"12:30/14:00",NA,NA
"KB17-034","Specimen","organism","442208","AH9BK78|AH9BK79","KANF007","Zebrasoma flavescens","Species","Diane E. Pitassy",NA,NA,NA,1,"USNM","Y",NA,NA,"Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Acanthuridae",NA,NA,"Zebrasoma",NA,"flavescens",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach and reef front.",21.444,-157.7964,100,"Google Earth",2017,5,22,5,0,"Julie Zill| Lynne Parenti| Kathleen Cole| Zeehan Jaafar| Diane Pitassy | Haven Banshaw","Snorkel| Dip nets| Spear","Inner fringing reef flat|reef crest","coarse sand|dead coral|live coral",NA,"12:30/14:00",NA,NA
"KB17-035","Specimen","organism","442209","AH9BK80|AH9BK81","KANF007","Chaetodon lunulatus","Species","Diane E. Pitassy",NA,NA,NA,1,"USNM","Y",NA,NA,"Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Chaetodontidae",NA,NA,"Chaetodon",NA,"lunulatus",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach and reef front.",21.444,-157.7964,100,"Google Earth",2017,5,22,5,0,"Julie Zill| Lynne Parenti| Kathleen Cole| Zeehan Jaafar| Diane Pitassy | Haven Banshaw","Snorkel| Dip nets| Spear","Inner fringing reef flat|reef crest","coarse sand|dead coral|live coral",NA,"12:30/14:00",NA,NA
"KB17-036","Specimen","organism","442210","AH9BK82|AH9BK83","KANF007","Zanclus cornutus","Species","Diane E. Pitassy",NA,NA,NA,1,"USNM","Y",NA,NA,"Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Zanclidae",NA,NA,"Zanclus",NA,"cornutus",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach and reef front.",21.444,-157.7964,100,"Google Earth",2017,5,22,5,0,"Julie Zill| Lynne Parenti| Kathleen Cole| Zeehan Jaafar| Diane Pitassy | Haven Banshaw","Snorkel| Dip nets| Spear","Inner fringing reef flat|reef crest","coarse sand|dead coral|live coral",NA,"12:30/14:00",NA,NA
"KB17-037","Specimen","organism","442211","AH9BK84|AH9BK85","KANF007","Abudefduf sordidus","Species","Diane E. Pitassy",NA,NA,NA,1,"USNM","Y",NA,NA,"Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Pomacentridae",NA,NA,"Abudefduf",NA,"sordidus",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach and reef front.",21.444,-157.7964,100,"Google Earth",2017,5,22,5,0,"Julie Zill| Lynne Parenti| Kathleen Cole| Zeehan Jaafar| Diane Pitassy | Haven Banshaw","Snorkel| Dip nets| Spear","Inner fringing reef flat|reef crest","coarse sand|dead coral|live coral",NA,"12:30/14:00",NA,NA
"KB17-038","Specimen","organism","442212","AH9BK86|AH9BK87","KANF007","Acanthurus xanthopterus","Species","Diane E. Pitassy",NA,NA,NA,1,"USNM","Y",NA,NA,"Formalin fixed specimen| Tissue (95% ethanol)","Chordata",NA,NA,"Actinopterygii",NA,NA,"Perciformes",NA,NA,"Acanthuridae",NA,NA,"Acanthurus",NA,"xanthopterus",NA,"Hawaii, Oahu, Kaneohe Bay, Coconut Island, windward side, sandflat, fore reef beach and reef front.",21.444,-157.7964,100,"Google Earth",2017,5,22,5,0,"Julie Zill| Lynne Parenti| Kathleen Cole| Zeehan Jaafar| Diane Pitassy | Haven Banshaw","Snorkel| Dip nets| Spear","Inner fringing reef flat|reef crest","coarse sand|dead coral|live coral",NA,"12:30/14:00",NA,NA
